"","PROPERTY.GROUP","last_violation","gap","n_serious_violations_year","n_evictions","last_year_serious","n_serious_violations","ID","VIOLATION.LAST.MODIFIED.DATE","VIOLATION.DATE","VIOLATION.CODE","VIOLATION.STATUS","VIOLATION.STATUS.DATE","VIOLATION.DESCRIPTION","VIOLATION.LOCATION","VIOLATION.INSPECTOR.COMMENTS","VIOLATION.ORDINANCE","INSPECTOR.ID","INSPECTION.NUMBER","INSPECTION.STATUS","INSPECTION.WAIVED","INSPECTION.CATEGORY","DEPARTMENT.BUREAU","ADDRESS","STREET.NUMBER","STREET.DIRECTION","STREET.NAME","STREET.TYPE","SSA","LATITUDE","LONGITUDE","LOCATION","street","serious","violation_year"
"666",18159,"2023-04-07",NA,7,6,"2023-04-07",18,1235047,"2015-02-10","2006-01-20","EL0023","COMPLIED","2015-02-10","INSTALL COVERS",NA,"BASEMENT AND 1ST FLOOR RESTAURANT 18-27-370.25","Install cover on outlet or junction box. (18-27-370.25)","538914",1251989,"PASSED","N","COMPLAINT","ELECTRICAL","4559 S HALSTED ST",4559,"S","HALSTED","ST",NA,41.810781303,-87.6454403,"(41.8107813033463, -87.64544030036262)","S HALSTED ST","Y",2006
"667",18168,"2021-02-02",NA,4,0,"2021-02-02",7,2111227,"2008-02-29","2007-07-16","CN106015","COMPLIED","2008-01-30","REPAIR INTERIOR STAIR SYSTEM",NA,"REPAIR ROTTED TREADS INTERIOR STAIRS 2ND TO 3RD FLOOR","Failed to maintain interior stairway system in safe condition and sound repair. (13-196-570)","BL00804",1945004,"FAILED","N","PERIODIC","CONSERVATION","700 W 47TH ST",700,"W","47TH","ST",NA,41.809014337,-87.643181605,"(41.80901433660297, -87.6431816048137)","W 47TH ST","Y",2007
"668",18194,"2022-01-03",NA,8,2,"2022-01-03",37,3215033,"2009-08-13","2009-08-13","CN197019","OPEN",NA,"INSTALL SMOKE DETECTORS","INTERIOR:003 :STAIRWAY","CENTER AND REAR STAIRWAYS ,3RD FLOOR REAR,MISSING SMOKE DETECTORS.","Install and maintain approved smoke detectors. (13-196-100 thru 13-196-160) Install a smoke detector in every dwelling unit. Install one on any living level with a habitable room or unenclosed heating plant, on the uppermost ceiling of enclosed porch stairwell, and within 15 feet of every sleeping room. Be sure the detector is at least 4 inches from the wall, 4 to 12 inches from the ceiling, and not above door or window.","BL01041",2777007,"FAILED","N","COMPLAINT","CONSERVATION","4315 S WOLCOTT AVE",4315,"S","WOLCOTT","AVE",NA,41.815324441,-87.672284763,"(41.81532444114293, -87.67228476299984)","S WOLCOTT AVE","Y",2009
"669",18224,"2023-11-14",NA,7,11,"2023-11-14",16,4093757,"2012-02-08","2012-02-08","CN197019","OPEN",NA,"INSTALL SMOKE DETECTORS","INTERIOR:002 :","APARTMENT #202- MISSING SMOKE DETECTOR.","Install and maintain approved smoke detectors. (13-196-100 thru 13-196-160) Install a smoke detector in every dwelling unit. Install one on any living level with a habitable room or unenclosed heating plant, on the uppermost ceiling of enclosed porch stairwell, and within 15 feet of every sleeping room. Be sure the detector is at least 4 inches from the wall, 4 to 12 inches from the ceiling, and not above door or window.","BL01039",10541086,"FAILED","N","COMPLAINT","CONSERVATION","4355 S SAWYER AVE",4355,"S","SAWYER","AVE",39,41.813871713,-87.705281216,"(41.813871712794324, -87.70528121645657)","S SAWYER AVE","Y",2012
"670",18259,"2023-03-03",NA,4,1,"2023-03-03",13,1767823,"2009-04-07","2006-11-20","CN070024","COMPLIED","2009-03-17","REPAIR PORCH SYSTEM",NA,"4 STORY REAR PORCH WEST ELEVATION DOESN'T MEET CITY CODE FOR 100 POUNDS PER SQUARE FEET UNDERSIZED HANDRAILS IMPROPER BEAM AND JOIST CONNECTIONS MISCELLANEOUS PICKETS AND DECKING BOARDS ROTTED THRUOUT 1ST THRU 4TH FLOOR. OBTAIN PERMIT BEFORE STARTING WORK.","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL01041",1605085,"FAILED","N","PERIODIC","CONSERVATION","4820 S INDIANA AVE",4820,"S","INDIANA","AVE",NA,41.806833382,-87.621293387,"(41.80683338236909, -87.62129338701389)","S INDIANA AVE","Y",2006
"671",18261,"2023-11-17",NA,4,7,"2023-11-17",7,1734131,"2008-02-22","2006-01-01","CN070024","COMPLIED","2008-01-17","REPAIR PORCH SYSTEM",NA,"REAR PORCHES ALL WITH UNDERSIZED JOIST STRINGERS IMPROPER CONNECTIONS AT TOP AND BOTTOM OF STRINGERS-WINDING STAIR SYSTEM IMPROPERLY CONSTRUCTED HAND AND GUARD WEAK AND TO LOW PLANS AND PERMITS REQUIRED","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00722",1590144,"FAILED","N","PERIODIC","CONSERVATION","4836 S INDIANA AVE",4836,"S","INDIANA","AVE",NA,41.806380882,-87.621282959,"(41.80638088214982, -87.62128295874425)","S INDIANA AVE","Y",2006
"672",18265,"2021-04-01",NA,5,22,"2021-04-01",24,2369324,"2008-07-11","2007-10-29","CN135016","OPEN",NA,"MICE/RODENTS",NA,"APT.1B, 2A, 2D, 3C, 3A MICE.","Exterminate rodents in building and seal openings through which they gain access. (13-196-530 D, 13-196-630 C, 7-28-660)","BL00268",2314215,"FAILED","N","PERIODIC","CONSERVATION","4725 S MICHIGAN AVE",4725,"S","MICHIGAN","AVE",56,41.808520059,-87.622669331,"(41.80852005900064, -87.62266933070248)","S MICHIGAN AVE","Y",2007
"673",18268,"2022-04-22",NA,6,3,"2022-04-22",17,2075624,"2007-07-03","2007-06-22","CN104015","OPEN",NA,"REPLCE WINDOW PANES, PLEXGLAS",NA,"WEST- CRACKED PANE AT BASEMENT/4903- BASEMENT EAST PANE BROKEN 115- 2ND FL. GLASS BROKEN.","Replace broken, missing or defective window panes. (13-196-550 A)","BL00804",1768526,"FAILED","N","PERIODIC","CONSERVATION","4901 S MICHIGAN AVE",4901,"S","MICHIGAN","AVE",NA,41.805555542,-87.622593916,"(41.805555542300766, -87.62259391649344)","S MICHIGAN AVE","Y",2007
"674",18269,"2022-02-01",NA,6,31,"2022-02-01",17,1618286,"2006-08-31","2006-08-15","CN070034","OPEN",NA,"REPLACE D&H PORCH",NA,"THREE STORY WOOD PORCH SYSTEM AT EAST ELEVATION CITED ON 8-16-05 AS DANGEROUS AND HAZARDOUS. PERMIT #100084867 ISSUED ON 12-16-05 TO REPAIR PORCH PER ENGINEERS REPORT. REPAIRS WERE COMPLETED CONTRARY T ENGINEERS REPORT. REMOVE MATERIALS USED TO REPAIR PORCH AND COMPLETE REPAIRS TO CONFORM TO ENGINEERS REPORT OR REPLACE PORCH SYSTEM.","Failed to rebuild or replace dilapidated and dangerous porch.  (13-196-570, 13-196-641)","BL00610",1545762,"FAILED","N","COMPLAINT","SPECIAL TASK FORCE","4905 S MICHIGAN AVE",4905,"S","MICHIGAN","AVE",NA,41.80544292,-87.622591507,"(41.80544291958861, -87.6225915068075)","S MICHIGAN AVE","Y",2006
"675",18276,"2023-09-26",NA,5,18,"2023-09-26",25,4637700,"2014-01-16","2014-01-16","EL0029","OPEN",NA,"EXPOSED WIRING","EXTERIOR:W   :WEST ELEVATION","OPEN ELECTRICAL JUNCTION BOX; EXPOSED WIRING.","Remove exposed wiring. (18-27-300.4)","BL01002",11082301,"FAILED","N","COMPLAINT","CONSERVATION","4756 S MICHIGAN AVE",4756,"S","MICHIGAN","AVE",56,41.807611603,-87.622937594,"(41.80761160310739, -87.62293759424722)","S MICHIGAN AVE","Y",2014
"676",18279,"2022-10-04",NA,7,11,"2022-10-04",42,1465975,"2009-05-15","2006-05-01","CN062024","COMPLIED","2009-03-24","PARAPET",NA,"REAR WEST PARAPET WASLL WASHED OU Y MORTAR & SPALLING OVER ALLEY AREA","Failed to maintain parapet wall in good repair and free from cracks and defects.  (13-196-530 and 13-196-641)","BL01041",1826411,"FAILED","N","PERIODIC","CONSERVATION","4850 S MICHIGAN AVE",4850,"S","MICHIGAN","AVE",NA,41.805960625,-87.622895681,"(41.80596062518711, -87.62289568111275)","S MICHIGAN AVE","Y",2006
"677",18283,"2022-01-07",NA,11,6,"2022-01-07",60,1245021,"2006-01-30","2006-01-24","CN104015","OPEN",NA,"REPLCE WINDOW PANES, PLEXGLAS",NA,"REAR 1ST FLOOR BROKEN PANE;3RD FLOOR NORTH BATHROOM","Replace broken, missing or defective window panes. (13-196-550 A)","BL00738",1311364,"FAILED","N","COMPLAINT","CONSERVATION","5020 S MICHIGAN AVE",5020,"S","MICHIGAN","AVE",52,41.803162357,-87.622824207,"(41.80316235690915, -87.62282420678241)","S MICHIGAN AVE","Y",2006
"678",18285,"2023-05-15",NA,4,7,"2023-05-15",12,1400721,"2006-09-11","2006-05-01","CN070024","OPEN",NA,"REPAIR PORCH SYSTEM",NA,"4825-27 REAR PORCH FLOOR JOISTS UNDERSIZED FOR SPAN, COLUMNS IMPROPER SPLICE CONNECTIONS, STRINGERS MISSING BOLTS STAIRS TO BOTH PORCHES COUNTERVAIL MOVE FROM SIDE TO SIDE AS WALLING GRADE - GUARD RAILINGS MISSING GRADE TO BASEMENT MISSING HAND RAILING MISSING METAL AT FIRE CUTS. COLUMNS CRACKING FLOOR JOIST FOR LANDING MISSING JOIST HANGERS 6X6 LOOKOUTS 7"" SPAN IMPROPER BRAMS FOR STAIR SYSTEM.","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00804",1553380,"FAILED","N","PERIODIC","CONSERVATION","4825 S PRAIRIE AVE",4825,"S","PRAIRIE","AVE",NA,41.806748977,-87.619376714,"(41.806748976993084, -87.6193767138291)","S PRAIRIE AVE","Y",2006
"679",18288,"2023-06-07",NA,6,16,"2023-06-07",19,2075564,"2007-07-03","2007-06-02","CN106015","OPEN",NA,"REPAIR INTERIOR STAIR SYSTEM",NA,"PROVIDE HANDRAIL GRADE TO 1ST INTERIOR OF 4855 4859.","Failed to maintain interior stairway system in safe condition and sound repair. (13-196-570)","BL00804",1768525,"FAILED","N","PERIODIC","CONSERVATION","4853 S PRAIRIE AVE",4853,"S","PRAIRIE","AVE",NA,41.805958005,-87.619357811,"(41.805958005445035, -87.61935781131059)","S PRAIRIE AVE","Y",2007
"680",18317,"2022-12-27",NA,5,2,"2022-12-27",15,2845174,"2008-12-04","2008-12-03","CN046013","OPEN",NA,"UNAPPROVED HEATING DEVICE","3RD FLR APT","GAS OFF","Stop using cooking or water heating device as heating device. (13-196-400)","BL00309",2402700,"FAILED","N","COMPLAINT","CONSERVATION","211 E 48TH ST",211,"E","48TH","ST",NA,41.807390816,-87.620623837,"(41.80739081562773, -87.62062383728602)","E 48TH ST","Y",2008
"681",18323,"2021-10-19",NA,5,22,"2021-10-19",12,2253916,"2007-10-23","2007-09-26","CN015062","OPEN",NA,"OBSTRUCTIONS IN EXIT WAY",NA,"REAR GATE CHAINED AND PADLOCKED FIRE HAZARD AT GRADE","Failed to remove obstruction from exitway that hampers travel and evacuation.  (13-160-070, 13-196-080)","BL00254",1771974,"FAILED","N","PERIODIC","CONSERVATION","4714 S MICHIGAN AVE",4714,"S","MICHIGAN","AVE",56,41.808799061,-87.622969002,"(41.80879906080835, -87.6229690024999)","S MICHIGAN AVE","Y",2007
"682",18328,"2022-04-25",NA,7,17,"2022-04-25",22,1610535,"2006-09-14","2006-08-16","CN070014","OPEN",NA,"REPAIR EXTERIOR STAIR",NA,"(1) SOUTH EAST MISSING JOIST HANGERS HORIZONTAL HAND AND GUARDRAILS COLUMNS SITTING ON SIDEWALK (2) SOUTH WEST MISSING JOIST HANGERS HORIZONTAL GUARD AND HANDRAILS PLANS AND PERMITS REQUIRED","Failed to maintain exterior stairways in safe condition and in sound repair.  (13-196-570, 13-196-641)","BL00654",1543404,"FAILED","N","COMPLAINT","CONSERVATION","101 E 47TH ST",101,"E","47TH","ST",56,41.809178675,-87.622751695,"(41.809178675381595, -87.62275169536825)","E 47TH ST","Y",2006
"683",18332,"2021-09-09",NA,7,12,"2021-09-09",16,3212820,"2009-08-12","2009-07-23","CN070024","OPEN",NA,"REPAIR PORCH SYSTEM",NA,"5015 REAR PORCH COLUMNS RESTING ON CONCRETE BLOCKS FOUNDATION STATUS UNKNOWN.COLUMN AND BEAM CONNECTION TOE NAILED ONLY MISSING ANGLE BRACKETS-STAINER MISSING BOLTS RAILS ARE LADDER TYPE LOOSE AND PULLING.MISSING SIMPSON CLIPS AND BOLTS AT MASONRY CONNECTION.646-48 BOLUMNS RESTING ON CONCRETE BLOCKS.FOUNDATION STATUS UNKNOWN.BEAMS AND COLUMN CONNECTION MISSING ANGLE BRACKETS AT FIRE CUTS,STRINGER NOT BOLTED YO MASONRY WALL LEDGERS MISSING BOLTS,JOIST MISSING HANGERS-RAILS 35""HIGH MISSING SIMPSON CLIPS AND BOLTS AT MASONRY WALL CONNECTIONS.4X4 COLUMN.BUTT JOINTED WITH LIGHT GAGE METAL.PLANS AND PERMIT REQUIRED FOR REPAIR OR REPLACEMENT OF BOTH REAR PORCHES.","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL01041",1418513,"FAILED","N","PERIODIC","CONSERVATION","5017 S CHAMPLAIN AVE",5017,"S","CHAMPLAIN","AVE",47,41.803433255,-87.609924144,"(41.803433254882165, -87.60992414361093)","S CHAMPLAIN AVE","Y",2009
"684",18333,"2021-05-08",NA,4,3,"2021-05-08",15,1474081,"2009-11-12","2006-02-23","CN074024","COMPLIED","2009-11-10","PROVIDE GUARD RAIL 42 IN HIGH",NA,"REAR ELEVATION 5039-41 BASEMENT STAIRWELL NO GUARDRAIL AROUND STAIRWELL.","Failed to provide porch which is more than two risers high with rails not less than three and one-half feet above the floor of the porch.  (13-196-570(b), 13-196-641","BL01041",1504670,"FAILED","N","PERIODIC","CONSERVATION","5039 S CHAMPLAIN AVE",5039,"S","CHAMPLAIN","AVE",NA,41.802876632,-87.609907551,"(41.80287663210569, -87.60990755107315)","S CHAMPLAIN AVE","Y",2006
"685",18337,"2023-04-21",NA,5,23,"2023-04-21",10,2152253,"2008-01-14","2007-08-07","CN104015","COMPLIED","2007-11-02","REPLCE WINDOW PANES, PLEXGLAS",NA,"5000- REAPIR CRACKED PANE 1ST FLR. EAST","Replace broken, missing or defective window panes. (13-196-550 A)","BL00804",1960943,"FAILED","N","PERIODIC","CONSERVATION","5000 S CHAMPLAIN AVE",5000,"S","CHAMPLAIN","AVE",NA,41.80397532,-87.610229255,"(41.803975319606195, -87.61022925470496)","S CHAMPLAIN AVE","Y",2007
"686",18338,"2023-10-13",NA,7,13,"2023-10-13",40,1408600,"2006-05-26","2006-02-23","CN106015","OPEN",NA,"REPAIR INTERIOR STAIR SYSTEM",NA,"5034  REAR PORCH GRADE  TO 3RD  ROTTED PEELING ROTTED SCABBED STRINGERS 2- 3 STRINGERS NOT PROPERLY ATTACHED. RAILS  ARE TOO SHORT  AND LANDING JOIST MISSING , JOIST HANGERS STRINGERS NOT PROPERLY ATTACHED. COLUMNS NOT PROPERLY SPLICED, BOLTED JOIST NOT SET ON PROPER FOOTINGS","Failed to maintain interior stairway system in safe condition and sound repair. (13-196-570)","BL00340",1426684,"FAILED","N","PERIODIC","CONSERVATION","5034 S CHAMPLAIN AVE",5034,"S","CHAMPLAIN","AVE",NA,41.803000348,-87.610204404,"(41.803000347954715, -87.61020440350539)","S CHAMPLAIN AVE","Y",2006
"687",18358,"2023-08-10",NA,6,12,"2023-08-10",15,1347589,"2006-04-12","2006-02-15","CN070024","OPEN",NA,"REPAIR PORCH SYSTEM",NA,"REAR PORCH 4817-19 GRADE TO 3RD COLUMNS OVER NOTCHED IMPROPER BEAM TO COLUMN CONNECTIONS EXTENSIVE SCABBING AT BEAM COLUMN CONNECTIONS MIDDLE BEAMS BEAM PICKETS ARE OVER WINDOWS IMPROPER STRINGER (WINDERS) STRINGERS ARE OVERCUT BEAM SUPPORTING ROOF IS ROTTED RAILS ARE TOO SHORT EXTENSIVE SCABBING ON STRINGERS COLUMNS ARE OVER NOTCHED 4823-27 REAR PORCH GRADE TO 3RD INPROPER BEAM TO COLUMN CONNECTIONS COLUMNS NOT PROPERLY SPLICED COLUMNS ARE OVER NOTCHED MIDDLE BEAM SUPPORTING 2ND FLOOR DECK IS ROTTED AT CONNECTION STRINGERS ARE OVER CUT EXTENSIVE SCABBING IMPROPER DESIGN (WINDERS) RAILS ARE TOO SHORT, ROTTED LOOSE AT 3RD FLOOR, 410-12 REAR PORCH GRADE TO 3RD COLUMNS ARE NOT PROPERLY SPLICED OVER NOTCHED IMPROPER BEAM TO COLUMN CONNECTIONS EXTENSIVE SCABBING AT CONNECTIONS MIDDLE BEAMS SUPPORTING 2ND/3RD FLOOR DECKS BEAMS ARE SET ON WINDOW FRAMES 1ST/2ND FLOOR MIDDLE BEAMS ARE ROTTED AT CONNECTIONS STRINGERS ARE IMPROPER DESIGN (WINDERS) OVERCUT SCABBED, RAILS ARE TO SHORT,","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00340",1418559,"FAILED","N","PERIODIC","CONSERVATION","406 E 48TH PL",406,"E","48TH","PL",NA,41.806771654,-87.615914204,"(41.80677165444727, -87.61591420415843)","E 48TH PL","Y",2006
"688",18361,"2023-10-03",NA,7,2,"2023-10-03",18,2293865,"2007-11-21","2007-11-16","CN132016","OPEN",NA,"HEAT UNIT ADEQUATELY",NA,"INADAQUATE TEMP IN APT 3S","Heat dwelling unit adequately from September 15th to June 1st. (13-196-410)","BL00948",2023794,"FAILED","N","COMPLAINT","CONSERVATION","4735 S ST LAWRENCE AVE",4735,"S","ST LAWRENCE","AVE",47,41.808412742,-87.611282048,"(41.808412741552594, -87.61128204761843)","S ST LAWRENCE AVE","Y",2007
"689",18363,"2023-11-15",NA,5,6,"2023-11-15",14,6891321,"2022-12-19","2022-12-19","CN197079","OPEN",NA,"REPAIR/REPLACE SMOKE DETECTORS","OTHER   :    :OTHER","5025 / APT 2 / SMOKE DETECTOR -  LOW BATTERY CHIRPING AT TIME OF INSPECTION. CB197079 - SMOKE ALARMS / DETECTORS - REPAIR / REPLACE ( 14X-1-103.2, 14X-1-103.3,  NM14X-5-504.1.1, 14X-5-504.10 AND 14A- 3-314.1.4 )","Repair or replace defective or out of service smoke detectors and operate continuously. (13-196-130, 13-196-140)","371335",13902403,"FAILED","N","COMPLAINT","CONSERVATION","5025 S ST LAWRENCE AVE",5025,"S","ST LAWRENCE","AVE",NA,41.803203027,-87.611163121,"(41.80320302727398, -87.61116312057635)","S ST LAWRENCE AVE","Y",2022
"690",18364,"2023-01-26",NA,5,7,"2023-01-26",9,1344892,"2006-04-10","2006-02-22","CN070024","OPEN",NA,"REPAIR PORCH SYSTEM",NA,"5047-49 REAR PORCH GRADE TO 3RD IMPROPER BEAM TO COLUMN CONNECTIONS COLUMNS NOR PROPERTY SPLICED, JOIST ARE TOO SMALL FOR SPAN, STRINGERS ARE NOT PROPERLY CONNECTED, MID LANDINGS ON STAIR SYSTEM MISSING JOIST HANGERS, ENTIRE STAIR SYSTEM SWAYS SIDE TO SIDE, 1ST FLOOR AND 1ST TO 2ND FLOOR LOOSE RAILS. COLUMNS NOT SET ON PROPER FOOTINGS. SOUTHWEST PORCH GRADE TO 3RD IMPROPER BEAM TO COLUMN CONNECTIONS, COLUMNS NOT PROPERLY STLICED / BOLTED, NOT SET ON PROPER FOOTINGS, JOIST TOO SMALL FOR SPAN, STRINGERS NOT PROPERLY ATTACHED, 2ND PLOOR LOOSE RAILS","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00340",1418488,"FAILED","N","PERIODIC","CONSERVATION","600 E 51ST ST",600,"E","51ST","ST",NA,41.802279689,-87.611226891,"(41.80227968891973, -87.61122689136467)","E 51ST ST","Y",2006
"691",18367,"2022-12-19",NA,10,8,"2022-12-19",37,1602564,"2007-01-05","2006-08-15","CN135016","COMPLIED","2007-01-04","MICE/RODENTS",NA,"2ND FLOOR FRONT HAS MICE DROPPINGS AND DEAD ROACHES IN APARTMENT","Exterminate rodents in building and seal openings through which they gain access. (13-196-530 D, 13-196-630 C, 7-28-660)","BL00654",1540847,"FAILED","N","PERIODIC","CONSERVATION","4751 S VINCENNES AVE",4751,"S","VINCENNES","AVE",56,41.807922327,-87.613709478,"(41.80792232703483, -87.61370947774112)","S VINCENNES AVE","Y",2006
"692",18373,"2023-06-15",NA,6,0,"2023-06-15",18,1493550,"2006-07-18","2006-02-15","CN070024","OPEN",NA,"REPAIR PORCH SYSTEM",NA,"ALL REAR PORCHES GRADE TO 3RD COLUMNS OVER NOTCHED, NOT PROPERLY SPLICED BOLTED, IMPROPER BEAM TO COLUMNS CONNECTIONS, BEAMS NOT PROPERLY ANCHORED INTO BEAMS POCKETS, JOISTS TOO SMALL FOR SPAN. STRINGERS ARE NOT PROPERLY ATTACHED 4844. 4850 REAR PORCHES LEDGER BOARDS FOR DECKS NOT PROPERLY BOLTED. 449 REAR PORCH MISSING PICKETS.","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00722",1510372,"FAILED","N","PERIODIC","CONSERVATION","447 E 48TH PL",447,"E","48TH","PL",NA,41.806574929,-87.614423722,"(41.80657492872994, -87.61442372162028)","E 48TH PL","Y",2006
"693",18374,"2023-04-07",NA,4,14,"2023-04-07",6,1517338,"2007-02-21","2006-02-27","CN070014","COMPLIED","2007-02-15","REPAIR EXTERIOR STAIR",NA,"FRONT GRADE TO 1ST BROKEN CONCRETE, NORTH SIDE  GRADE TO BASEMENT NO HAND RAIL.","Failed to maintain exterior stairways in safe condition and in sound repair.  (13-196-570, 13-196-641)","BL00654",1517802,"PASSED","N","PERIODIC","CONSERVATION","4918 S VINCENNES AVE",4918,"S","VINCENNES","AVE",NA,41.805183738,-87.614015029,"(41.8051837379542, -87.61401502923903)","S VINCENNES AVE","Y",2006
"694",18376,"2023-10-03",NA,14,33,"2023-10-03",76,1878033,"2021-02-25","2007-01-16","CN197087","COMPLIED","2021-02-25","CARB MONOX DETECT IN RESID",NA,"APT 5054 WASHINGTON PK CT,  543 MISSING CARBON MONOXIDE.","Install carbon monoxide detector within 40 feet of every sleeping room in residential structure. (13-64-190, 13-64-210) A carbon monoxide detector is needed whenever there is a heating appliance on the premises that burns fossil fuel such as gas, oil, or coal, or air that is circulated through a heat exchanger. Install according to manufacturer instructions. A hard wired model requires an electrical wiring permit. In a single family residence, be sure the detector is on or below the lowest floor with a place to sleep. In a multiple dwelling residence heated by a boiler, install a detector in the same room as the boiler. Otherwise, each apartment follows single family guidelines. The owner is responsible for installation and written instructions, the tenant for testing, maintenance, and batteries.","BL00722",1834096,"FAILED","N","COMPLAINT","CONSERVATION","404 E 51ST ST",404,"E","51ST","ST",NA,41.802217058,-87.615452152,"(41.8022170584335, -87.61545215200309)","E 51ST ST","Y",2007
"695",18384,"2023-05-01",NA,6,4,"2023-05-01",21,3078588,"2009-05-13","2009-04-17","CN197087","OPEN",NA,"CARB MONOX DETECT IN RESID",NA,"UNITS 3 EAST AND WEST MISSING CARBON MONOXIDE DETECTORS .","Install carbon monoxide detector within 40 feet of every sleeping room in residential structure. (13-64-190, 13-64-210) A carbon monoxide detector is needed whenever there is a heating appliance on the premises that burns fossil fuel such as gas, oil, or coal, or air that is circulated through a heat exchanger. Install according to manufacturer instructions. A hard wired model requires an electrical wiring permit. In a single family residence, be sure the detector is on or below the lowest floor with a place to sleep. In a multiple dwelling residence heated by a boiler, install a detector in the same room as the boiler. Otherwise, each apartment follows single family guidelines. The owner is responsible for installation and written instructions, the tenant for testing, maintenance, and batteries.","BL01041",1310078,"FAILED","N","PERIODIC","CONSERVATION","657 E 50TH PL",657,"E","50TH","PL",NA,41.803017012,-87.609121088,"(41.80301701189413, -87.60912108763871)","E 50TH PL","Y",2009
"696",18392,"2022-11-30",NA,6,17,"2022-11-30",14,1345773,"2007-08-08","2006-02-22","CN070024","OPEN",NA,"REPAIR PORCH SYSTEM",NA,"REAT PORCH GRADE TO 3RD, IMPROPER BEAM TO COLUMN CONNECTION, COLUMNS NOT PROPERLY SPLICED & BOLTED, JOIST MISSING JOIST HANGERS STRINGERS NOT PROPERLY ATTACHED, MISSING PICKETS, LOOSE RAIL AT 3RD FLOOR.","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00688",1956070,"FAILED","N","PERIODIC","CONSERVATION","552 E 51ST ST",552,"E","51ST","ST",NA,41.802267498,-87.612054232,"(41.80226749818864, -87.61205423245019)","E 51ST ST","Y",2006
"697",18402,"2023-10-23",NA,8,52,"2023-10-23",14,2888196,"2009-06-15","2008-10-15","CN197087","COMPLIED","2009-03-24","CARB MONOX DETECT IN RESID",NA,"7TH FLOOR- LAUNDRY ROOM- CARBON MONOXIDE DETECTOR- MISSING","Install carbon monoxide detector within 40 feet of every sleeping room in residential structure. (13-64-190, 13-64-210) A carbon monoxide detector is needed whenever there is a heating appliance on the premises that burns fossil fuel such as gas, oil, or coal, or air that is circulated through a heat exchanger. Install according to manufacturer instructions. A hard wired model requires an electrical wiring permit. In a single family residence, be sure the detector is on or below the lowest floor with a place to sleep. In a multiple dwelling residence heated by a boiler, install a detector in the same room as the boiler. Otherwise, each apartment follows single family guidelines. The owner is responsible for installation and written instructions, the tenant for testing, maintenance, and batteries.","BL01041",2421768,"FAILED","N","PERIODIC","CONSERVATION","4930 S LANGLEY AVE",4930,"S","LANGLEY","AVE",NA,41.804920884,-87.609035321,"(41.80492088405831, -87.60903532117867)","S LANGLEY AVE","Y",2008
"698",18406,"2023-09-25",NA,8,25,"2023-09-25",30,2353012,"2014-05-19","2007-12-24","CN132016","COMPLIED","2014-05-15","HEAT UNIT ADEQUATELY","1041","APT 305 HEATING SYSTEM IS ON AND CIRCULATING COOL AIR. THERMOSTAT IS SET AT 79F","Heat dwelling unit adequately from September 15th to June 1st. (13-196-410)","BL01002",2078249,"FAILED","N","COMPLAINT","CONSERVATION","5001 S DREXEL BLVD",5001,"S","DREXEL","BLVD",NA,41.804018786,-87.603631573,"(41.804018785880764, -87.60363157271891)","S DREXEL BLVD","Y",2007
"699",18419,"2023-11-20",NA,9,3,"2023-11-20",25,1377458,"2008-08-11","2006-03-06","CN015062","COMPLIED","2008-06-17","OBSTRUCTIONS IN EXIT WAY",NA,"9TH FLOOR CORRIDOR POTTED FLOWERS AND PLAND LINING BOTH SIDES OF THE CORRIDER","Failed to remove obstruction from exitway that hampers travel and evacuation.  (13-160-070, 13-196-080)","BL01041",1466519,"FAILED","N","PERIODIC","CONSERVATION","810 E HYDE PARK BLVD",810,"E","HYDE PARK","BLVD",47,41.802373471,-87.605887608,"(41.80237347110972, -87.60588760843979)","E HYDE PARK BLVD","Y",2006
"700",18420,"2022-01-04",NA,7,9,"2022-01-04",32,1709786,"2007-04-19","2006-01-02","CN197087","COMPLIED","2007-04-18","CARB MONOX DETECT IN RESID",NA,"BASEMENT MECHANICAL ROOM CARBON MONOXIDE PROVIDE","Install carbon monoxide detector within 40 feet of every sleeping room in residential structure. (13-64-190, 13-64-210) A carbon monoxide detector is needed whenever there is a heating appliance on the premises that burns fossil fuel such as gas, oil, or coal, or air that is circulated through a heat exchanger. Install according to manufacturer instructions. A hard wired model requires an electrical wiring permit. In a single family residence, be sure the detector is on or below the lowest floor with a place to sleep. In a multiple dwelling residence heated by a boiler, install a detector in the same room as the boiler. Otherwise, each apartment follows single family guidelines. The owner is responsible for installation and written instructions, the tenant for testing, maintenance, and batteries.","BL00722",1862301,"FAILED","N","PERIODIC","CONSERVATION","820 E HYDE PARK BLVD",820,"E","HYDE PARK","BLVD",47,41.802379299,-87.605472746,"(41.802379299308605, -87.6054727458616)","E HYDE PARK BLVD","Y",2006
